well,plate,well code,tube number,treatment,dilution,dilution long,unique.name,replicate,primer,Cq
A01,1,6 1ng,6,16Cq DiNV needle poke,1ng,1nanogram,6-1ng-TPI,1,TPI,23.42
A02,1,6 1ng,6,16Cq DiNV needle poke,1ng,1nanogram,6-1ng-TPI,2,TPI,23.23
A03,1,6 1ng,6,16Cq DiNV needle poke,1ng,1nanogram,6-1ng-TPI,3,TPI,23.15
A04,1,6 0.1ng,6,16Cq DiNV needle poke,0.1ng,point1nanogram,6-0.1ng-TPI,1,TPI,26.43
A05,1,6 0.1ng,6,16Cq DiNV needle poke,0.1ng,point1nanogram,6-0.1ng-TPI,2,TPI,26.47
A06,1,6 0.1ng,6,16Cq DiNV needle poke,0.1ng,point1nanogram,6-0.1ng-TPI,3,TPI,26.59
A07,1,6 0.01ng,6,16Cq DiNV needle poke,0.01ng,pointzero1nanogram,6-0.01ng-TPI,1,TPI,29.66
A08,1,6 0.01ng,6,16Cq DiNV needle poke,0.01ng,pointzero1nanogram,6-0.01ng-TPI,2,TPI,30.26
A09,1,6 0.01ng,6,16Cq DiNV needle poke,0.01ng,pointzero1nanogram,6-0.01ng-TPI,3,TPI,29.99
A10,1,6 1:10,6,16Cq DiNV needle poke,1:10,1to10,6-1:10-TPI,1,TPI,22.65
A11,1,6 1:10,6,16Cq DiNV needle poke,1:10,1to10,6-1:10-TPI,2,TPI,22.79
A12,1,6 1:10,6,16Cq DiNV needle poke,1:10,1to10,6-1:10-TPI,3,TPI,22.87
B01,1,6 1:100,6,16Cq DiNV needle poke,1:100,1to100,6-1:100-TPI,1,TPI,25.77
B02,1,6 1:100,6,16Cq DiNV needle poke,1:100,1to100,6-1:100-TPI,2,TPI,25.93
B03,1,6 1:100,6,16Cq DiNV needle poke,1:100,1to100,6-1:100-TPI,3,TPI,25.88
B04,1,8 1ng,8,16Cq DiNV needle poke,1ng,1nanogram,8-1ng-TPI,1,TPI,23.75
B05,1,8 1ng,8,16Cq DiNV needle poke,1ng,1nanogram,8-1ng-TPI,2,TPI,23.69
B06,1,8 1ng,8,16Cq DiNV needle poke,1ng,1nanogram,8-1ng-TPI,3,TPI,23.89
B07,1,8 0.1ng,8,16Cq DiNV needle poke,0.1ng,point1nanogram,8-0.1ng-TPI,1,TPI,27
B08,1,8 0.1ng,8,16Cq DiNV needle poke,0.1ng,point1nanogram,8-0.1ng-TPI,2,TPI,26.94
B09,1,8 0.1ng,8,16Cq DiNV needle poke,0.1ng,point1nanogram,8-0.1ng-TPI,3,TPI,26.63
B10,1,8 0.01ng,8,16Cq DiNV needle poke,0.01ng,pointzero1nanogram,8-0.01ng-TPI,1,TPI,29.87
B11,1,8 0.01ng,8,16Cq DiNV needle poke,0.01ng,pointzero1nanogram,8-0.01ng-TPI,2,TPI,29.5
B12,1,8 0.01ng,8,16Cq DiNV needle poke,0.01ng,pointzero1nanogram,8-0.01ng-TPI,3,TPI,29.65
C01,1,8 1:10,8,16Cq DiNV needle poke,1:10,1to10,8-1:10-TPI,1,TPI,22.19
C02,1,8 1:10,8,16Cq DiNV needle poke,1:10,1to10,8-1:10-TPI,2,TPI,22.12
C03,1,8 1:10,8,16Cq DiNV needle poke,1:10,1to10,8-1:10-TPI,3,TPI,22.31
C04,1,8 1:100,8,16Cq DiNV needle poke,1:100,1to100,8-1:100-TPI,1,TPI,25.23
C05,1,8 1:100,8,16Cq DiNV needle poke,1:100,1to100,8-1:100-TPI,2,TPI,25.08
C06,1,8 1:100,8,16Cq DiNV needle poke,1:100,1to100,8-1:100-TPI,3,TPI,25.28
C07,1,14 1ng,14,16Cq DiNV needle poke,1ng,1nanogram,14-1ng-TPI,1,TPI,23.5
C08,1,14 1ng,14,16Cq DiNV needle poke,1ng,1nanogram,14-1ng-TPI,2,TPI,23.56
C09,1,14 1ng,14,16Cq DiNV needle poke,1ng,1nanogram,14-1ng-TPI,3,TPI,23.62
C10,1,14 0.1ng,14,16Cq DiNV needle poke,0.1ng,point1nanogram,14-0.1ng-TPI,1,TPI,26.49
C11,1,14 0.1ng,14,16Cq DiNV needle poke,0.1ng,point1nanogram,14-0.1ng-TPI,2,TPI,26.48
C12,1,14 0.1ng,14,16Cq DiNV needle poke,0.1ng,point1nanogram,14-0.1ng-TPI,3,TPI,26.68
D01,1,14 0.01ng,14,16Cq DiNV needle poke,0.01ng,pointzero1nanogram,14-0.01ng-TPI,1,TPI,29.46
D02,1,14 0.01ng,14,16Cq DiNV needle poke,0.01ng,pointzero1nanogram,14-0.01ng-TPI,2,TPI,29.37
D03,1,14 0.01ng,14,16Cq DiNV needle poke,0.01ng,pointzero1nanogram,14-0.01ng-TPI,3,TPI,29.44
D04,1,14 1:10,14,16Cq DiNV needle poke,1:10,1to10,14-1:10-TPI,1,TPI,22.22
D05,1,14 1:10,14,16Cq DiNV needle poke,1:10,1to10,14-1:10-TPI,2,TPI,22.17
D06,1,14 1:10,14,16Cq DiNV needle poke,1:10,1to10,14-1:10-TPI,3,TPI,22.22
D07,1,14 1:100,14,16Cq DiNV needle poke,1:100,1to100,14-1:100-TPI,1,TPI,25.35
D08,1,14 1:100,14,16Cq DiNV needle poke,1:100,1to100,14-1:100-TPI,2,TPI,25.41
D09,1,14 1:100,14,16Cq DiNV needle poke,1:100,1to100,14-1:100-TPI,3,TPI,25.22
D10,1,17 1ng,17,16Cq DiNV injection,1ng,1nanogram,17-1ng-TPI,1,TPI,22.45
D11,1,17 1ng,17,16Cq DiNV injection,1ng,1nanogram,17-1ng-TPI,2,TPI,22.59
D12,1,17 1ng,17,16Cq DiNV injection,1ng,1nanogram,17-1ng-TPI,3,TPI,22.74
E01,1,17 0.1ng,17,16Cq DiNV injection,0.1ng,point1nanogram,17-0.1ng-TPI,1,TPI,26.16
E02,1,17 0.1ng,17,16Cq DiNV injection,0.1ng,point1nanogram,17-0.1ng-TPI,2,TPI,26
E03,1,17 0.1ng,17,16Cq DiNV injection,0.1ng,point1nanogram,17-0.1ng-TPI,3,TPI,26.13
E04,1,17 0.01ng,17,16Cq DiNV injection,0.01ng,pointzero1nanogram,17-0.01ng-TPI,1,TPI,29.28
E05,1,17 0.01ng,17,16Cq DiNV injection,0.01ng,pointzero1nanogram,17-0.01ng-TPI,2,TPI,29.43
E06,1,17 0.01ng,17,16Cq DiNV injection,0.01ng,pointzero1nanogram,17-0.01ng-TPI,3,TPI,29.3
E07,1,17 1:10,17,16Cq DiNV injection,1:10,1to10,17-1:10-TPI,1,TPI,22.41
E08,1,17 1:10,17,16Cq DiNV injection,1:10,1to10,17-1:10-TPI,2,TPI,22.39
E09,1,17 1:10,17,16Cq DiNV injection,1:10,1to10,17-1:10-TPI,3,TPI,22.42
E10,1,17 1:100,17,16Cq DiNV injection,1:100,1to100,17-1:100-TPI,1,TPI,25.76
E11,1,17 1:100,17,16Cq DiNV injection,1:100,1to100,17-1:100-TPI,2,TPI,25.89
