vial,species,sex,mated status,days_emerged,day_infected,age_infected,combo,tube,treatment,volume,time,time on CO2,original_N_number,adjusted_N_number,day 1 2/10,day 2 2/11,day 3 2/12,day 4 2/13,day 5 2/14,day 6 2/15,day 7 2/16,day 8 2/17,day 9 2/18,day 10 2/19,day 11 2/20,day 12 2/21,day 13 2/22,day 14 2/23,notes
1,D. innubila,m,mated ,2/1-2/2,20240209,7-8 days,male-CCM,CCM,CCM,27.6nl,3:51,10 min,10,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,
2,D. innubila,f,mated ,2/1-2/2,20240209,7-8 days,female-CCM,CCM,CCM,27.6nl,3:51,10 min,10,10,10,10,10,10,9,8,8,8,8,8,8,8,8,8,
3,D. innubila,m,mated ,2/1-2/2,20240209,7-8 days,male-CCM,CCM,CCM,27.6nl,4:02,10 min,10,9,10,9,9,8,8,8,8,8,8,8,8,8,8,8,
4,D. innubila,f,mated ,2/1-2/2,20240209,7-8 days,female-CCM,CCM,CCM,27.6nl,4:02,10 min,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
6,D. innubila,m,mated ,2/1-2/2,20240209,7-8 days,male-0.01,5,0.01FFU,27.6nl,4:25,10 min,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,
7,D. innubila,f,mated ,2/1-2/2,20240209,7-8 days,female-0.01,5,0.01FFU,27.6nl,4:25,10 min,10,10,10,10,10,9,8,7,7,7,7,7,7,7,7,7,
8,D. innubila,m,mated ,2/1-2/2,20240209,7-8 days,male-0.1,4,0.1FFU,27.6nl,4:41,8 min,10,10,10,10,9,9,9,7,6,5,2,2,0,0,0,0,
9,D. innubila,f,mated ,2/1-2/2,20240209,7-8 days,female-0.1,4,0.1FFU,27.6nl,4:41,8 min,10,8,8,8,7,7,6,5,4,4,1,1,1,1,1,1,
10,D. innubila,m,mated ,2/1-2/2,20240209,7-8 days,male-1,3,1 FFU,27.6nl,4:53,10 min,10,9,9,9,9,9,8,8,7,5,1,1,0,0,0,0,
11,D. innubila,f,mated ,2/1-2/2,20240209,7-8 days,female-1,3,1 FFU,27.6nl,4:53,10 min,10,8,10,8,8,8,8,7,6,1,1,0,0,0,0,0,
12,D. innubila,m,mated ,2/1-2/2,20240209,7-8 days,male-3,2,3 FFU,27.6nl,5:06,8 min,10,8,8,8,7,7,5,3,1,0,0,0,0,0,0,0,
13,D. innubila,f,mated ,2/1-2/2,20240209,7-8 days,female-3,2,3 FFU,27.6nl,5:06,8 min,9,8,8,8,8,8,7,4,3,1,1,1,0,0,0,0,
14,D. innubila,m,mated ,2/1-2/2,20240209,7-8 days,male-6,1,6 FFU,27.6nl,5:21,8 min,10,10,10,10,8,7,7,7,6,3,3,3,3,0,0,0,
15,D. innubila,f,mated ,2/1-2/2,20240209,7-8 days,female-6,1,6 FFU,27.6nl,5:21,8 min,10,10,10,10,10,10,10,10,8,4,3,3,0,0,0,0,
