vial,species,sex,mated status,days_emerged,day_infected,age_infected,tube,treatment,virus,volume,time,time on CO2,original_N_number,adjusted_N_number,day 1 3/3,day 2 3/4,day 3 3/5,day 4 3/6,day 5 3/7,day 6 3/8,day 7 3/9,day 8 3/10,day 9 3/11,day 10 3/12,day 11 3/13,day 12 3/14,day 13 3/15,day 14 3/16,notes
1,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,CCM,CCM,middle band,27.6nl,2:22,6 min,9,7,9,7,6,5,5,,,,,,,,,,
2,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,CCM,CCM,middle band,27.6nl,2:27,6 min,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,
3,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,CCM,CCM,middle band,27.6nl,3:33,5 min,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
4,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,5,0.01 FFU,middle band,27.6nl,3:39,5min,10,10,10,10,10,9,8,8,8,8,8,7,7,7,7,7,
5,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,5,0.01 FFU,middle band,27.6nl,3:44,6 min,10,9,9,9,9,9,9,9,9,8,6,6,6,6,6,5,
6,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,4,0.05 FFU,middle band,27.6nl,3:52,5 min,10,10,10,10,10,10,10,9,9,7,4,4,4,3,3,2,
7,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,4,0.05 FFU,middle band,27.6nl,3:57,5 min,10,9,9,9,9,8,6,6,6,6,3,0,0,0,0,0,"could not find 1 fly on day 6, adjust starting number"
8,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,2,1 FFU,middle band,27.6nl,4:04,5 min,10,10,11,10,10,10,10,10,7,4,2,2,1,0,0,0,
9,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,2,1 FFU,middle band,27.6nl,4:10,5 min,10,10,10,10,10,10,10,10,9,9,2,1,0,0,0,0,
10,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,1,3 FFU,middle band,27.6nl,4:17,5 min,10,10,10,10,10,10,10,10,9,8,2,1,0,0,0,0,
11,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,1,3 FFU,middle band,27.6nl,4:23,5 min,10,9,9,9,9,8,5,4,2,1,0,0,0,0,0,0,
12,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,7,0.01 FFU,P4,27.6nl,4:36,5 min,9,,9,9,9,8,8,,,,freeze,,,,,,
13,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,7,0.01 FFU,P4,27.6nl,4:41,5 min,9,,9,9,8,8,8,,freeze,,,,,,,,
14,D. innubila,male,yes,2/25-2/26,20240302,6-7 days,7,0.01 FFU,P4,27.6nl,4:56,5 min,10,,10,9,7,6,6,freeze,,,,,,,,,
