vial,species,sex,mated status,days_emerged,day_infected,age_infected,tube,treatment,virus,volume,time,time on CO2,original_N_number,adjusted_N_number,day 1 3/6,day 2 3/7,day 3 3/8,day 4 3/9,day 5 3/10,day 6 3/11,day 7 3/12,day 8 3/13,day 9 3/14,day 10 3/15,day 11 3/16,day 12 3/17,day 13 3/18,day 14 3/19,notes
1,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,CCM,CCM,middle band,27.6nl,4:30,5 min,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
2,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,CCM,CCM,middle band,27.6nl,4:37,5 min,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
3,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,5,0.01,middle band,27.6nl,4:44,5 min,10,9,9,9,9,9,9,9,9,9,8,7,7,7,7,7,lost 1 in transfer day9
4,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,5,0.01,middle band,27.6nl,4:49,5 min,10,10,10,10,10,10,10,9,9,9,8,8,8,8,7,7,
5,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,4,0.05,middle band,27.6nl,4:56,5 min,10,10,10,10,9,8,8,7,7,6,2,2,1,1,1,1,
6,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,4,0.05,middle band,27.6nl,5:02,5 min,10,10,10,10,10,10,9,8,8,5,3,3,2,2,2,2,
7,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,2,1,middle band,27.6nl,5:09,5 min,10,10,10,10,10,10,10,7,7,3,1,1,0,0,0,0,
8,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,2,1,middle band,27.6nl,5:14,5 min,10,10,10,10,10,10,10,10,10,10,5,2,0,0,0,0,
9,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,1,3,middle band,27.6nl,5:21,5 min,10,10,10,10,10,10,10,10,10,6,2,1,1,0,0,0,
10,D. innubila,male,yes,2/28 - 2/29,20240305,5-6 days,1,3,middle band,27.6nl,5:26,5 min,10,10,10,10,10,10,9,7,7,4,0,0,0,0,0,0,
