well,sample,replicate,primer,cell_type,infection,day,unique_name,Cq
A01,1,1,PIF 3,DV-1,control,day0,Dv-pif-cc-0-1,40.00
A02,1,2,PIF 3,DV-1,control,day0,Dv-pif-cc-0-1,40.00
A03,1,3,PIF 3,DV-1,control,day0,Dv-pif-cc-0-1,40.00
A04,2,1,PIF 3,DV-1,control,day0,Dv-pif-cc-0-2,40.00
A05,2,2,PIF 3,DV-1,control,day0,Dv-pif-cc-0-2,40.00
A06,2,3,PIF 3,DV-1,control,day0,Dv-pif-cc-0-2,40.00
A07,3,1,PIF 3,DV-1,control,day0,Dv-pif-cc-0-3,40.00
A08,3,2,PIF 3,DV-1,control,day0,Dv-pif-cc-0-3,40.00
A09,3,3,PIF 3,DV-1,control,day0,Dv-pif-cc-0-3,37.97
A10,4,1,PIF 3,DV-1,control,day0,Dv-pif-cc-0-4,36.28
A11,4,2,PIF 3,DV-1,control,day0,Dv-pif-cc-0-4,40.00
A12,4,3,PIF 3,DV-1,control,day0,Dv-pif-cc-0-4,36.22
B01,5,1,PIF 3,Myd88,control,day0,Myd-pif-cc-0-1,40.00
B02,5,2,PIF 3,Myd88,control,day0,Myd-pif-cc-0-1,40.00
B03,5,3,PIF 3,Myd88,control,day0,Myd-pif-cc-0-1,40.00
B04,6,1,PIF 3,Myd88,control,day0,Myd-pif-cc-0-2,35.02
B05,6,2,PIF 3,Myd88,control,day0,Myd-pif-cc-0-2,40.00
B06,6,3,PIF 3,Myd88,control,day0,Myd-pif-cc-0-2,40.00
B07,7,1,PIF 3,Myd88,control,day0,Myd-pif-cc-0-3,40.00
B08,7,2,PIF 3,Myd88,control,day0,Myd-pif-cc-0-3,40.00
B09,7,3,PIF 3,Myd88,control,day0,Myd-pif-cc-0-3,40.00
B10,8,1,PIF 3,Myd88,control,day0,Myd-pif-cc-0-4,40.00
B11,8,2,PIF 3,Myd88,control,day0,Myd-pif-cc-0-4,40.00
B12,8,3,PIF 3,Myd88,control,day0,Myd-pif-cc-0-4,40.00
C01,9,1,PIF 3,DV-1,control,day5,Dv-pif-cc-5-1,40.00
C02,9,2,PIF 3,DV-1,control,day5,Dv-pif-cc-5-1,34.72
C03,9,3,PIF 3,DV-1,control,day5,Dv-pif-cc-5-1,40.00
C04,10,1,PIF 3,DV-1,control,day5,Dv-pif-cc-5-2,40.00
C05,10,2,PIF 3,DV-1,control,day5,Dv-pif-cc-5-2,40.00
C06,10,3,PIF 3,DV-1,control,day5,Dv-pif-cc-5-2,34.88
C07,11,1,PIF 3,DV-1,control,day5,Dv-pif-cc-5-3,40.00
C08,11,2,PIF 3,DV-1,control,day5,Dv-pif-cc-5-3,34.99
C09,11,3,PIF 3,DV-1,control,day5,Dv-pif-cc-5-3,40.00
C10,12,1,PIF 3,DV-1,control,day5,Dv-pif-cc-5-4,40.00
C11,12,2,PIF 3,DV-1,control,day5,Dv-pif-cc-5-4,40.00
C12,12,3,PIF 3,DV-1,control,day5,Dv-pif-cc-5-4,35.13
D01,13,1,PIF 3,Myd88,control,day5,Myd-pif-cc-5-1,40.00
D02,13,2,PIF 3,Myd88,control,day5,Myd-pif-cc-5-1,40.00
D03,13,3,PIF 3,Myd88,control,day5,Myd-pif-cc-5-1,40.00
