well,sample,replicate,primer,cell_type,infection,day,unique_name,Cq
A01,1,1,RPL11,DV-1,control,day0,Dv-rpl-cc-0-1,27.77
A02,1,2,RPL11,DV-1,control,day0,Dv-rpl-cc-0-1,27.63
A03,1,3,RPL11,DV-1,control,day0,Dv-rpl-cc-0-1,27.54
A04,2,1,RPL11,DV-1,control,day0,Dv-rpl-cc-0-2,27.29
A05,2,2,RPL11,DV-1,control,day0,Dv-rpl-cc-0-2,27.25
A06,2,3,RPL11,DV-1,control,day0,Dv-rpl-cc-0-2,27.48
A07,3,1,RPL11,DV-1,control,day0,Dv-rpl-cc-0-3,26.88
A08,3,2,RPL11,DV-1,control,day0,Dv-rpl-cc-0-3,27.12
A09,3,3,RPL11,DV-1,control,day0,Dv-rpl-cc-0-3,26.73
A10,4,1,RPL11,DV-1,control,day0,Dv-rpl-cc-0-4,26.64
A11,4,2,RPL11,DV-1,control,day0,Dv-rpl-cc-0-4,26.98
A12,4,3,RPL11,DV-1,control,day0,Dv-rpl-cc-0-4,27.04
B01,5,1,TPI,Dinn,control,day0,Dinn-tpi-cc-0-1,24.65
B02,5,2,TPI,Dinn,control,day0,Dinn-tpi-cc-0-1,24.64
B03,5,3,TPI,Dinn,control,day0,Dinn-tpi-cc-0-1,24.69
B04,6,1,TPI,Dinn,control,day0,Dinn-tpi-cc-0-2,25.16
B05,6,2,TPI,Dinn,control,day0,Dinn-tpi-cc-0-2,25.08
B06,6,3,TPI,Dinn,control,day0,Dinn-tpi-cc-0-2,25.13
B07,7,1,TPI,Dinn,control,day0,Dinn-tpi-cc-0-3,24.51
B08,7,2,TPI,Dinn,control,day0,Dinn-tpi-cc-0-3,24.71
B09,7,3,TPI,Dinn,control,day0,Dinn-tpi-cc-0-3,24.50
B10,8,1,TPI,Dinn,control,day0,Dinn-tpi-cc-0-4,25.10
B11,8,2,TPI,Dinn,control,day0,Dinn-tpi-cc-0-4,25.10
B12,8,3,TPI,Dinn,control,day0,Dinn-tpi-cc-0-4,25.46
C01,9,1,RPL11,DV-1,control,day5,Dv-rpl-cc-5-1,23.02
C02,9,2,RPL11,DV-1,control,day5,Dv-rpl-cc-5-1,22.78
C03,9,3,RPL11,DV-1,control,day5,Dv-rpl-cc-5-1,22.89
C04,10,1,RPL11,DV-1,control,day5,Dv-rpl-cc-5-2,22.77
C05,10,2,RPL11,DV-1,control,day5,Dv-rpl-cc-5-2,22.82
C06,10,3,RPL11,DV-1,control,day5,Dv-rpl-cc-5-2,22.89
C07,11,1,RPL11,DV-1,control,day5,Dv-rpl-cc-5-3,23.87
C08,11,2,RPL11,DV-1,control,day5,Dv-rpl-cc-5-3,24.03
C09,11,3,RPL11,DV-1,control,day5,Dv-rpl-cc-5-3,23.98
C10,12,1,RPL11,DV-1,control,day5,Dv-rpl-cc-5-4,23.81
C11,12,2,RPL11,DV-1,control,day5,Dv-rpl-cc-5-4,24.03
C12,12,3,RPL11,DV-1,control,day5,Dv-rpl-cc-5-4,24.14
D01,13,1,TPI,Dinn,control,day5,Dinn-tpi-cc-5-1,21.27
D02,13,2,TPI,Dinn,control,day5,Dinn-tpi-cc-5-1,21.32
D03,13,3,TPI,Dinn,control,day5,Dinn-tpi-cc-5-1,21.35
D04,14,1,TPI,Dinn,control,day5,Dinn-tpi-cc-5-2,22.34
D05,14,2,TPI,Dinn,control,day5,Dinn-tpi-cc-5-2,22.29
D06,14,3,TPI,Dinn,control,day5,Dinn-tpi-cc-5-2,22.36
D07,15,1,TPI,Dinn,control,day5,Dinn-tpi-cc-5-3,22.67
D08,15,2,TPI,Dinn,control,day5,Dinn-tpi-cc-5-3,22.71
D09,15,3,TPI,Dinn,control,day5,Dinn-tpi-cc-5-3,22.67
D10,16,1,TPI,Dinn,control,day5,Dinn-tpi-cc-5-4,22.56
D11,16,2,TPI,Dinn,control,day5,Dinn-tpi-cc-5-4,22.49
D12,16,3,TPI,Dinn,control,day5,Dinn-tpi-cc-5-4,22.67
E01,17,1,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-1,25.37
E02,17,2,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-1,25.32
E03,17,3,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-1,25.29
E04,18,1,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-2,26.35
E05,18,2,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-2,26.59
E06,18,3,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-2,26.48
E07,19,1,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-3,26.18
E08,19,2,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-3,26.31
E09,19,3,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-3,26.29
E10,20,1,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-4,26.59
E11,20,2,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-4,26.98
E12,20,3,RPL11,DV-1,DiNV,day0,Dv-rpl-D-0-4,26.90
F01,21,1,TPI,Dinn,DiNV,day0,Dinn-tpi-D-0-1,24.63
F02,21,2,TPI,Dinn,DiNV,day0,Dinn-tpi-D-0-1,24.59
F03,21,3,TPI,Dinn,DiNV,day0,Dinn-tpi-D-0-1,24.74
F04,22,1,TPI,Dinn,DiNV,day0,Dinn-tpi-D-0-2,24.41
